STEP;SOUHAIT_HORS_PRIX;souhait_EQ4;achete_EQ4;souhait_EQ8;achete_EQ8;souhait_EQ9;achete_EQ9
0;216000.0;0.0;0.0;5506.403940886697;5506.403940886697;2500.7142857142844;2500.7142857142844
1;216000.0;0.0;0.0;6972.248184798536;6400.0;2807.82513235446;2807.82513235446
2;498315.7894736842;0.0;0.0;17559.309485964826;1807.5960591133044;6428.276607646109;3553.7430951666965
3;216000.0;0.0;0.0;0.0;0.0;2463.747446973199;355.37430951666937
4;216000.0;0.0;0.0;0.0;0.0;1524.3064545384461;35.53743095166695
5;216000.0;0.0;0.0;0.0;0.0;288.4073976871065;3.553743095166695
6;216000.0;0.0;0.0;0.0;0.0;49.85225529064149;0.3553743095166695
7;216000.0;0.0;0.0;0.0;0.0;6.45947353558927;0.0
8;702947.3684210527;0.0;0.0;0.0;0.0;2.607958985855526;0.0
9;216000.0;0.0;0.0;0.0;0.0;0.09977593558486035;0.0
10;216000.0;0.0;0.0;0.0;0.0;0.01508149585332456;0.0
